=== TABLES ===
tb_account	customer_first_kana	후리가나 성 (KG이니시스 편의점결제)	varchar(255)	YES	NULL		
tb_account	customer_last_kana	후리가나 이름 (KG이니시스 편의점결제)	varchar(255)	YES	NULL		
tb_account	user_first_hina	성 (KG이니시스 편의점결제)	varchar(255)	YES	NULL		
tb_account	user_last_hina	이름 (KG이니시스 편의점결제)	varchar(255)	YES	NULL		
tb_account	agree_service	서비스 이용약관 동의	tinyint(1)	NO	0		
tb_account	agree_privacy	개인정보 처리방침 동의	tinyint(1)	NO	0		
tb_account	agree_age	만 14세 이상 확인	tinyint(1)	NO	0		
tb_account	agree_date	약관 동의 시각	datetime	YES	NULL		
tb_account_chk	cr_code	 회원코드 	varchar(25)	NO	NULL		
tb_account_chk	ac_id	 계정 아이디 	varchar(256)	YES	NULL		
tb_account_chk	ac_status	 회원 상태 : 0=이용대기,\n2=이용가능,\n3=이용중지 전체,\n4=이용중지 060,\n5=본인탈퇴,\n6=강제탈퇴, 	tinyint unsigned	NO	2		
tb_account_chk	ac_remain_coin	 계정 남은 코인 	int	NO	0		
tb_account_history	h_no	히스토리 번호	int unsigned	NO	NULL	PRI	auto_increment
tb_account_history	ac_no	계정번호	int unsigned	YES	NULL		
tb_account_history	ac_id	계정 아이디	varchar(256)	YES	NULL		
tb_account_history	st_code	사이트 코드	varchar(25)	YES	NULL		
tb_account_history	cr_code	회원코드	varchar(25)	YES	NULL		
tb_account_history	target_column	변경컬럼	varchar(50)	YES	NULL		
tb_account_history	old_value	기존 데이터 값	varchar(512)	YES	NULL		
tb_account_history	new_value	변경 데이터 값	varchar(512)	YES	NULL		
tb_account_history	change_reason	변경사유: 반드시 텍스트, 코드값 불가	varchar(1000)	YES	NULL		
tb_account_history	ac_status	 회원 상태 : 0=이용대기,\n2=이용가능,\n3=이용중지 전체,\n4=이용중지 060,\n5=본인탈퇴,\n6=강제탈퇴, 	tinyint unsigned	YES	NULL		
tb_account_history	backup_data	저장당시 account 데이터 전체 JSON	json	YES	NULL		
tb_account_history	regist_type	변경자 타입 : admin, callee, caller	varchar(20)	YES	NULL		
tb_account_history	regist_id	변경자 아이디	varchar(512)	YES	NULL		
tb_account_history	regist_date	등록일	timestamp	YES	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_adjust	log_no	로그번호	int unsigned	NO	NULL	PRI	auto_increment
tb_adjust	activity		varchar(30)	YES	NULL	MUL	
tb_adjust	adid		varchar(512)	YES	NULL		
tb_adjust	idfa		varchar(512)	YES	NULL		
tb_adjust	revenue		varchar(512)	NO	NULL		
tb_adjust	event		varchar(512)	NO	NULL		
tb_adjust	last_session_time		varchar(512)	NO	NULL		
tb_adjust	os_name		varchar(512)	NO	NULL		
tb_adjust	ac_id		varchar(255)	YES	NULL		
tb_adjust	regist_date		timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_admin	am_no	 관리자 번호 	int unsigned	NO	NULL	PRI	auto_increment
tb_admin	admin_id	 관리자 아이디 	varchar(40)	NO	NULL	UNI	
tb_admin	admin_passwd	  	varchar(512)	NO	NULL		
tb_admin	admin_name	 관리자 이름 	varchar(25)	YES	NULL		
tb_admin	admin_position	 관리자 직급 	varchar(50)	YES	NULL		
tb_admin	admin_drno	 관리자 직통번호 	varchar(20)	YES	NULL		
tb_admin	admin_hp	 관리자 휴대폰 번호 	varchar(25)	YES	NULL		
tb_admin	admin_vno	 관리자 발신표시 번호 	varchar(25)	YES	NULL		
tb_admin	admin_email	 관리자 메일주소 	varchar(256)	YES	NULL		
tb_admin	admin_vemail	 관리자 발신메일주소 	varchar(512)	YES	NULL		
tb_admin	admin_level	 관리자 레벨 	varchar(2)	YES	NULL		
tb_admin	admin_type	 관리자 타입 : 1=일반직원, 2=담당자 	tinyint unsigned	NO	1		
tb_admin	admin_status	 관리자 이용상태 : 1=이용가능,2=이용불가 	tinyint unsigned	NO	1		
tb_admin	regist_id	 등록자 아이디 : 상담사=상담사코드, 회원=회원코드, 관리자=관리자 코드, 시스템=system 	varchar(25)	YES	NULL		
tb_admin	regist_date	 등록일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_admin	last_update_date	 최근수정일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_admin_menu	seq		double	NO	NULL	PRI	auto_increment
tb_admin_menu	main_code		double	YES	NULL	MUL	
tb_admin_menu	main_menu_name		varchar(60)	YES	NULL		
tb_admin_menu	main_menu_sort_no		double	YES	NULL		
tb_admin_menu	main_menu_icon		varchar(150)	YES	NULL		
tb_admin_menu	sub_menu_name		varchar(45)	YES	NULL		
tb_admin_menu	sub_menu_sort_no		double	YES	NULL		
tb_admin_menu	sub_menu_url		varchar(90)	YES	NULL		
tb_admin_menu	menu_auth_id		blob	YES	NULL		
tb_admin_menu	use_yn		varchar(3)	YES	NULL		
tb_admin_menu	updated_date		datetime	YES	NULL		
tb_admin_menu	created_date		datetime	YES	NULL		
tb_admin_menu	created_by		varchar(60)	YES	NULL		
tb_admin_menu_old	seq		double	NO	NULL	PRI	auto_increment
tb_admin_menu_old	main_code		double	YES	NULL	MUL	
tb_admin_menu_old	main_menu_name		varchar(60)	YES	NULL		
tb_admin_menu_old	main_menu_sort_no		double	YES	NULL		
tb_admin_menu_old	main_menu_icon		varchar(150)	YES	NULL		
tb_admin_menu_old	sub_menu_name		varchar(45)	YES	NULL		
tb_admin_menu_old	sub_menu_sort_no		double	YES	NULL		
tb_admin_menu_old	sub_menu_url		varchar(90)	YES	NULL		
tb_admin_menu_old	menu_auth_id		blob	YES	NULL		
tb_admin_menu_old	use_yn		varchar(3)	YES	NULL		
tb_admin_menu_old	updated_date		datetime	YES	NULL		
tb_admin_menu_old	created_date		datetime	YES	NULL		
tb_admin_menu_old	created_by		varchar(60)	YES	NULL		
tb_admin_msg	msg_no	 메시지 번호 	int unsigned	NO	NULL	PRI	auto_increment
tb_admin_msg	ce_code	 상담사 코드 	varchar(25)	YES	NULL	MUL	
tb_admin_msg	cr_code	 회원코드 : asdfad 	varchar(25)	YES	NULL	MUL	
tb_admin_msg	cas_code	 섭외 코드 	varchar(25)	YES	NULL		
tb_admin_msg	item_code	 아이템 코드 	varchar(25)	YES	NULL	MUL	
tb_admin_msg	st_code	 사이트 코드 	varchar(25)	YES	NULL		
tb_admin_msg	msg_type	메시지 타입 : sms=문자, memo=메모, mail=메일, push=푸시	varchar(20)	YES	NULL		
tb_admin_msg	msg_subject	 메시지 제목 	varchar(1000)	YES	NULL		
tb_admin_msg	msg_desc	 메시지 내용 	text	YES	NULL		
tb_admin_msg	admin_id	 관리자 아이디 	varchar(256)	YES	NULL		
tb_admin_msg	admin_name	  	varchar(125)	YES	NULL		
tb_admin_msg	sms_phone	 sms 회신번호 	varchar(20)	YES	NULL		
tb_admin_msg	sender_mail	 발송자 메일주소 	varchar(256)	YES	NULL		
tb_admin_msg	regdate	 등록일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_admin_msg	item_flag	아이템구분	varchar(20)	YES	call		
tb_admin_offday	seq		int	NO	NULL	PRI	auto_increment
tb_admin_offday	st_code		varchar(50)	NO	NULL		
tb_admin_offday	offday_yn	휴무설정	varchar(10)	NO	N		
tb_admin_offday	regist_id	작성, 수정 ID	varchar(100)	YES	NULL		
tb_admin_offday	regist_date	최근 수정일	datetime	YES	NULL		
tb_agora_test	ag_no		int unsigned	NO	NULL	PRI	auto_increment
tb_agora_test	ce_code		varchar(100)	YES	NULL		
tb_agora_test	cr_code		varchar(100)	YES	NULL		
tb_agora_test	jwt_token	jwt 토큰	mediumtext	YES	NULL		
tb_agora_test	agora_token	아고라 화상채팅 token	varchar(256)	YES	NULL		
tb_agora_test	channel		varchar(100)	NO	peoplev		
tb_agora_test	agora_callee_token	아고라 화상채팅 상담사 token	varchar(256)	YES	NULL		
tb_agora_test	use		enum('Y','N')	YES	Y		
tb_alarm	al_no	 알람 번호 	int unsigned	NO	NULL	PRI	auto_increment
tb_alarm	al_type	 알람타입: 전체=all,callee,caller,direct 	varchar(50)	NO	all		
tb_alarm	al_part	 알람 구분: notice, after, qna등 	varchar(20)	YES	NULL		
tb_alarm	st_code	 사이트 코드 	varchar(25)	YES	NULL		
tb_alarm	ac_id	 계정 아이디 	varchar(256)	YES	NULL	MUL	
tb_alarm	al_subject	 알람 제목 	varchar(256)	YES	NULL		
tb_alarm	al_content	 알람 내용 	text	YES	NULL		
tb_alarm	al_link	 알람 링크 	varchar(125)	YES	NULL		
tb_alarm	regist_date	 등록일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_alarm	cr_code	 회원코드 	varchar(30)	YES	NULL		
tb_alarm_read	alr_no	 알람 읽음 번호 	int unsigned	NO	NULL	PRI	auto_increment
tb_alarm_read	st_code	 사이트 코드 	varchar(25)	YES	NULL		
tb_alarm_read	ac_id	 계정 아이디 	varchar(256)	YES	NULL	MUL	
tb_alarm_read	al_no	 알람 번호 	int unsigned	YES	NULL		
tb_alarm_read	regist_date	 마지막 읽은 날짜 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_alimtalk_log	at_no	alimtalk 발송 번호	int unsigned	NO	NULL	PRI	auto_increment
tb_alimtalk_log	at_count	alimtalk 발송개수	int	NO	0		
tb_alimtalk_log	at_subject	alimtalk 제목 : alimtalk 제목	varchar(50)	YES	NULL		
tb_alimtalk_log	at_content	alimtalk 내용	mediumtext	YES	NULL		
tb_alimtalk_log	at_schedule	alimtalk 발송요청시간	datetime	YES	NULL		
tb_alimtalk_log	at_recv_id	alimtalk 수신자 계정	varchar(50)	NO	NULL		
tb_alimtalk_log	at_recv_nick	alimtalk 수신자 닉네임	varchar(50)	NO	NULL		
tb_alimtalk_log	at_recv_phone	alimtalk 수신자 핸드폰	varchar(25)	NO	NULL		
tb_alimtalk_log	at_result	발송결과코드값	varchar(30)	NO	NULL		
tb_alimtalk_log	at_result_content	발송결과메세지	varchar(100)	NO	NULL		
tb_alimtalk_log	at_mid	알림톡id값	int	NO	NULL		
tb_alimtalk_log	regist_date	등록일(발송시간)	timestamp	NO	CURRENT_TIMESTAMP	PRI	DEFAULT_GENERATED
tb_apple_server_alert	sa_no		int	NO	NULL	PRI	auto_increment
tb_apple_server_alert	json_value	애플서버에서 전달한 데이터 (base64)	text	YES	NULL		
tb_apple_server_alert	regist_date		timestamp	YES	NULL		
tb_apple_server_alert	notificationType		varchar(255)	YES	NULL		
tb_apple_server_alert	signcedpayload		text	YES	NULL		
tb_apple_server_alert	signedTransad	NO	NULL		
tb_autopay	charge_coin	 자동충전 충전코인 	int unsigned	NO	NULL		
tb_autopay	ap_use	 자동충전 사용여부 	enum('Y','N')	NO	Y		
tb_autopay	regist_date	 등록일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_autopay	last_update_date	 최근수정일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_autopay	card_name	 자동충전 카드이름 	varchar(100)	YES	NULL		
tb_autopay	ap_status	 결제 최종 결과 success,fail 	varchar(30)	YES	NULL		
tb_autopay	ap_fail_cnt	 결제 오류 카운트 	int unsigned	NO	0		
tb_autopay_history	aplog_no	자동충전 번호	int unsigned	NO	NULL	PRI	auto_increment
tb_autopay_history	st_code	사이트 코드	varchar(25)	NO	NULL		
tb_autopay_history	cr_code	회원코드	varchar(25)	NO	NULL		
tb_autopay_history	ac_id	계정 아이디	varchar(256)	NO	NULL		
tb_autopay_history	customer_uid	자동충전 아이디	varchar(80)	NO	NULL		
tb_autopay_history	min_coin	자동충전 최소금액	int unsigned	NO	NULL		
tb_autopay_history	pd_code	상품코드	varchar(30)	NO	NULL		
tb_autopay_history	charge_price	자동충전 결제 금액	int unsigned	NO	NULL		
tb_autopay_history	charge_coin	자동충전 충전코인	int unsigned	NO	NULL		
tb_autopay_history	ap_use	자동충전 사용여부	enum('Y','N')	NO	Y		
tb_autopay_history	card_name	카드 번호	varchar(100)	YES	NULL		
tb_autopay_history	regist_date	등록일	datetime	YES	NULL		
tb_banned_words	bw_no	  	int	NO	NULL	PRI	auto_increment
tb_banned_words	bw_value	 금지단어 	varchar(125)	NO	NULL		
tb_banned_words	bw_admin	  	enum('Y','N')	NO	N		
tb_banned_words	update_date	  	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_banner	bn_no	  	int unsigned	NO	NULL	PRI	auto_increment
tb_banner	st_code	 사이트 코드 	varchar(25)	YES	NULL		
tb_banner	bn_name	배너명	varchar(30)	YES	NULL		
tb_banner	bng_type	배너종류 코드	varchar(30)	YES	NULL		
tb_banner	bng_position	노출위치 코드	varchar(30)	YES	NULL		
tb_banner	bn_position	 노출위치 코드 main, banner1등 	varchar(30)	NO	NULL		
tb_banner	bn_img	 배너이미지 URL	varchar(512)	NO	NULL		
tb_banner	bn_link	 배너 링크 URL 	varchar(256)	NO	NULL		
tb_banner	bn_view	 배너 노출 여부 	enum('Y','N')	NO	Y		
tb_banner	bn_first	첫번째 노출 유무	varchar(20)	YES	N		
tb_banner	bn_starttime	예약시작 시간	timestamp	YES	NULL		
tb_banner	bn_endtime	예약종료 시간	timestamp	YES	NULL		
tb_banner	bn_sort	소팅순서	tinyint unsigned	YES	0		
tb_banner	regist_id	 등록자 아이디 : 상담사=상담사코드, 회원=회원코드, 관리자=관리자 코드, 시스템=system 	varchar(25)	YES	NULL		
tb_banner	regist_type	배너타입	varchar(20)	YES	NULL		
tb_banner	regist_date	 등록일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_banner	update_id	최근수정관리자	varchar(50)	YES	NULL		
tb_banner	last_update_date	 최근수정일 	timestamp	YES	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_banner_group	bng_no	배너그룹번호	int unsigned	NO	NULL	PRI	auto_increment
tb_banner_group	bng_type	배너타입(1차구분)	tinyint unsigned	NO	NULL		
tb_banner_group	bng_type_name	배너타입 이름	varchar(50)	NO	NULL		
tb_banner_group	bng_status	배너그룹 사용여부	enum('Y','N')	NO	N		
tb_banner_group	bng_sort	소팅순서	tinyint unsigned	NO	0		
tb_banner_group	bng_position	배너노출위치(2차구분)	tinyint unsigned	YES	NULL		
tb_banner_group	bng_position_name	배너노출위치 이름	varchar(50)	YES	NULL		
tb_banner_group	bng_position_status	배너노출위치 사용여부	enum('Y','N')	YES	NULL		
tb_banner_group	bng_position_sort	노출위치 소팅순서	tinyint unsigned	YES	0		
tb_banner_group	st_code	사이트 코드	varchar(25)	YES	hongcafe		
tb_banner_group	regist_id	등록관리자	varchar(50)	NO	admin		
tb_banner_group	regist_date	등록일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_banner_group	update_id	최근수정관리자	varchar(50)	YES	NULL		
tb_banner_group	last_update_date	최근수정일	timestamp	YES	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_banner_theme	bn_no	  	int unsigned	NO	NULL	PRI	auto_increment
tb_banner_theme	st_code	 사이트 코드 	varchar(25)	YES	hongcafe		
tb_banner_theme	bn_name	배너명	varchar(30)	YES	NULL		
tb_banner_theme	bng_type	배너종류 코드	varchar(30)	YES	NULL		
tb_banner_theme	bng_position	노출위치 코드	varchar(255)	YES	NULL		
tb_banner_theme	bn_position	노출위치 코드 main, banner1등	varchar(30)	NO	NULL		
tb_banner_theme	bn_img	 배너이미지 URL	varchar(512)	NO	NULL		
tb_banner_theme	bn_link	 배너 링크 URL 	varchar(256)	NO	NULL		
tb_banner_theme	bn_view	 배너 노출 여부 	enum('Y','N')	NO	Y		
tb_banner_theme	bn_first	첫번째 노출 유무	varchar(20)	YES	N		
tb_banner_theme	bn_starttime	예약시작 시간	datetime	YES	NULL		
tb_banner_theme	bn_endtime	예약종료 시간	datetime	YES	NULL		
tb_banner_theme	bn_sort	소팅순서	tinyint unsigned	YES	0		
tb_banner_theme	regist_id	 등록자 아이디 : 상담사=상담사코드, 회원=회원코드, 관리자=관리자 코드, 시스템=system 	varchar(25)	YES	NULL		
tb_banner_theme	regist_type	배너타입	varchar(20)	YES	NULL		
tb_banner_theme	regist_date	 등록일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_banner_theme	update_id	최근수정관리자	varchar(50)	YES	NULL		
tb_banner_theme	last_update_date	 최근수정일 	timestamp	YES	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_banner_theme	infinity_show	계속 운영	enum('Y','N')	YES	N		
tb_banner_theme	tm_code	테마 코드	varchar(255)	NO	NULL		
tb_banner_theme_callee	tm_code	테마 코드	varchar(100)	NO	NULL	MUL	
tb_banner_theme_callee	ce_code	상담사 코드	varchar(100)	NO	NULL		
tb_banner_theme_callee	cr_code	회원 코드	varchar(100)	YES	NULL		
tb_banner_theme_callee	it_code	아이템코드	varchar(100)	NO	NULL		
tb_banner_theme_callee	ch_code		varchar(100)	YES	NULL		
tb_banner_theme_callee	gd_code		varchar(100)	YES	NULL		
tb_banner_theme_callee	category_1		varchar(100)	YES	NULL		
tb_banner_theme_callee	category_2		varchar(100)	YES	NULL		
tb_board	st_code	 사이트 코드 	varchar(25)	NO	NULL	PRI	
tb_board	bd_id	 보드 아이디 	varchar(30)	NO	NULL	PRI	
tb_board	bd_subject	 보드 제목 	varchar(1000)	YES	NULL		
tb_board	bd_desc	 보드 설명 	text	YES	NULL		
tb_board	bd_use	 보드 사용여부 	enum('Y','N')	NO	Y		
tb_board	bd_secret	 비밀글 사용여부 	enum('Y','N')	NO	Y		
tb_board	bd_cmt_secret	 비밀 댓글 사용여부 	enum('Y','N')	NO	Y		
tb_board	bd_write	 보드 글쓰기 권한 : all=모두, member=로그인회원, admin=관리자만 	varchar(10)	NO	member		
tb_board	bd_comment	 코멘트 기능 있음=Y,없음=N 	enum('Y','N')	NO	Y		
tb_board	bd_comment_write	 댓글 글쓰기 권한 : all=모두, member=로그인회원, admin=관리자만 	varchar(10)	NO	member		
tb_board	bd_content_cnt	 등록된 글 수 	int	NO	0		
tb_board	bd_comment_cnt	 댓글 수 	int	NO	0		
tb_board	regist_id	 등록자 아이디 : 상담사=상담사코드, 회원=회원코드, 관리자=관리자 코드, 시스템=system 	varchar(25)	YES	NULL		
tb_board	regist_date	 등록일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_board	last_update_date	 최근수정일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_board_comment	bcc_no	 댓글 번호 	int	NO	NULL	PRI	auto_increment
tb_board_comment	st_code	 사이트 코드 	varchar(25)	YES	NULL		
tb_board_comment	bd_id	 보드 아이디 	varchar(30)	NO	NULL	MUL	
tb_board_comment	bc_id	 게시물 아이디 func_bc_id()로 추출 	varchar(30)	NO	NULL	MUL	
tb_board_comment	bcc_parent	 댓글 모 번호-댓글의 댓글에 사용 	int	YES	NULL		
tb_board_comment	bcc_content	 댓글 내용 	text	YES	NULL		
tb_board_comment	bcc_secret	 비밀글 여부 	enum('Y','N')	NO	N		
tb_board_comment	bcc_nick	 게시물 작성 닉네임 	varchar(25)	YES	NULL		
tb_board_comment	bcc_anonymous	익명 글쓰기 확인 여부	varchar(10)	YES	NULL		
tb_board_comment	cr_code	 회원코드 	varchar(25)	YES	NULL		
tb_board_comment	ac_id	 계정 아이디 	varchar(256)	YES	NULL		
tb_board_comment	bcc_like_cnt	 추천수 	int	YES	0		
tb_board_comment	bcc_dislike_cnt	비추천수	int	YES	0		
tb_board_comment	bcc_use	 댓글 보기 여부 	enum('Y','N')	NO	Y		
tb_board_comment	regist_date	 등록일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_board_comment	last_update_date	 최근수정일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_board_comment	bcc_is_report	신고 여부	enum('Y','N')	YES	N		
tb_board_comment	bcc_report_category	신고 유형	varchar(100)	YES	NULL		
tb_board_comment	bcc_etc_report	기타 신고 사유	varchar(100)	YES	NULL		
tb_board_comment	bcc_report_cr_code	신고자 계정	varchar(100)	YES	NULL		
tb_board_comment	bcc_report_ac_id	신고자 아이디	varchar(100)	YES	NULL		
tb_board_comment	regist_report_date	신고일	timestamp	YES	NULL		
tb_board_comment	regist_report_process_date	신고처리일	timestamp	YES	NULL		
tb_board_content	st_code	 사이트 코드 	varchar(25)	YES	NULL		
tb_board_content	bd_id	 보드 아이디 	varchar(30)	NO	NULL		
